topic,n,auto_flag,needs_review,no_action,flagged_rate_pct
Karnataka Politics,2,1,1,0,100.0
Karnataka News,12,6,6,0,100.0
Karnataka BJP,8,3,5,0,100.0
Siddaramaiah,9,3,6,0,100.0
Karnataka Congress,2,2,0,0,100.0
Karnataka JD(S),3,3,0,0,100.0
DK Shivakumar,8,3,5,0,100.0
Basavaraj Bommai,4,2,2,0,100.0
BS Yediyurappa,9,5,4,0,100.0
HD Kumaraswamy,7,1,6,0,100.0
Veerendra Heggade,50,25,25,0,100.0
Congress vs BJP,14,8,6,0,100.0
Karnataka Cabinet,1,0,1,0,100.0
Karnataka Budget,9,5,4,0,100.0
Belagavi Politics,12,6,6,0,100.0
Mysore Politics,50,25,25,0,100.0
Narendra Modi,50,24,26,0,100.0
Rahul Gandhi,46,27,19,0,100.0
Amit Shah,4,2,2,0,100.0
TV9 Kannada,5,2,3,0,100.0
Parliament Debate,3,2,1,0,100.0
Lok Sabha,1,1,0,0,100.0
Rajya Sabha,3,3,0,0,100.0
Asianet Suvarna News,50,26,24,0,100.0
Republic Kannada,50,24,26,0,100.0
Zee Kannada News,7,5,2,0,100.0
Power TV Kannada,10,5,5,0,100.0
Karnataka farmer protest news Kannada,5,1,4,0,100.0
MS Dhoni,9,3,6,0,100.0
RCB,16,5,11,0,100.0
Vijaya Karnataka,37,18,19,0,100.0
NEET Karnataka,8,3,5,0,100.0
Karnataka Education News,23,14,9,0,100.0
PUC Karnataka,5,2,3,0,100.0
SSLC Karnataka,11,3,8,0,100.0
Virat Kohli,1,0,1,0,100.0
Farmer Protest Karnataka,15,6,9,0,100.0
Reservation Karnataka,29,14,15,0,100.0
Leo Movie,6,2,4,0,100.0
Kannada Troll,8,2,6,0,100.0
Karnataka caste reservation protest Kannada,50,37,13,0,100.0
Public TV Kannada,50,30,19,1,98.0
Caste Karnataka,50,36,13,1,98.0
Karnataka minister statement controversy,50,21,28,1,98.0
Kannada Hindi language imposition debate,50,29,20,1,98.0
Nikhil Nisha Vlogs,50,20,29,1,98.0
KPSC,50,21,28,1,98.0
Karnataka communal issue news,50,30,18,2,96.0
Kannada caste reservation debate,50,24,24,2,96.0
Kannada religious conversion debate,50,39,8,3,94.0
Kannada political corruption scandal,50,21,26,3,94.0
Karnataka love jihad news debate,50,32,15,3,94.0
Karnataka anti conversion bill debate,50,26,21,3,94.0
Samsameer_insta,50,21,26,3,94.0
Karnataka Hijab controversy Kannada news,50,27,20,3,94.0
Karnataka political controversy Kannada,50,17,30,3,94.0
Kannada movie boycott controversy,46,23,20,3,93.5
KGF,45,19,23,3,93.3
Kannada Language,30,11,17,2,93.3
Kannada Shorts,50,21,25,4,92.0
Kannada Roast,50,26,20,4,92.0
UPSC Kannada,50,16,29,5,90.0
IPL Kannada,50,13,32,5,90.0
Salaar,48,13,30,5,89.6
NewsFirst Kannada,9,4,4,1,88.9
Karnataka Tamil Nadu water dispute Kannada,9,6,2,1,88.9
Kannada actor controversy news,50,22,21,7,86.0
Kannada troll war celebrity,50,20,23,7,86.0
Kantara,50,18,25,7,86.0
Kannada social media influencer expose,50,21,22,7,86.0
Karnataka Bengaluru crime news Kannada,13,6,5,2,84.6
Kannada Meme,6,2,3,1,83.3
Kannada Mysuru Bengaluru rivalry,50,22,18,10,80.0
KCET,10,2,6,2,80.0
Bengaluru Traffic,13,4,6,3,76.9
Karnataka Election,4,2,1,1,75.0
Kannada YouTuber controversy drama,50,19,17,14,72.0
Karnataka Jobs,3,0,2,1,66.7
Media Masters,50,10,18,22,56.0
3 PEG,2,0,1,1,50.0
Masth Maga,50,7,17,26,48.0
Mr. and Mrs. Ramachari,50,5,13,32,36.0
Suryavamsha,7,0,2,5,28.6
Bombe Helutaithe,6,0,1,5,16.7
Dr Bro,50,0,8,42,16.0
Sriram Benur,13,0,2,11,15.4
Global Kannadiga,50,3,3,44,12.0
Maya Loka,50,1,5,44,12.0
Flying Passport,50,1,4,45,10.0
Rekha Aduge,50,0,5,45,10.0
Googly,1,0,0,1,0.0
