Comment ID,Search Topic,Video Title,Video ID,Published Date,Comment,Annotator 1 Label,Annotator 2 Label,Final Label
2,Karnataka Politics,Kannada News | ಇಂದಿನ ಪ್ರಮುಖ ಸುದ್ದಿಗಳು (23-07-26) | DK Shivakumar | Modi | Karnataka TV,aQj6rDcNDGc,2026-07-23T16:02:26Z,ಪ್ರದೀಪ್ ಈಶ್ವರ ದೊಡ್ಡ ಹುಚ್ ಕಳ್ಳ SSLC ಪಾಸ್ ಆಗಿದನ gorilla ಇವನ್ನು ಮೆಡಿಕಲ್ ಸ್ಟೂಡೆಂಟ್ ಗಳಿಗೆ ಕ್ಲಾಸ್ ಕೊಡುದು ಹೇಗೆ ಇದೆಲ್ಲ.ಹೇಗೆ ಸಾಧ್ಯ.ಅವನು ನೀಟ್ ಪೇಪರ್ ಕಳ್ಳ ಅಲ್ವಾ ಅವನ್ನ ಓಡಿಬೇಕು,Offensive,Offensive,Offensive
5,Karnataka Politics,Kannada News | ಇಂದಿನ ಪ್ರಮುಖ ಸುದ್ದಿಗಳು (23-07-26) | DK Shivakumar | Modi | Karnataka TV,aQj6rDcNDGc,2026-07-23T16:02:26Z,"Godi ಮೀಡಿಯಾ, ನಿಮ್ಮಂತವರಿಗೆ ಯಾವ ಲಜ್ಜೆಯ ಇಲ್ಲ",Offensive,Offensive,Offensive
6,Karnataka Election,#shortsfeed #shorts #short #karnataka #kannada #news #new #bjp #congress #election #viral #news,9TGX6WHQytM,2026-07-23T17:20:27Z,Yavno sari illa Looti koraru,Offensive,Offensive,Offensive
7,Karnataka Election,#shortsfeed #shorts #short #karnataka #kannada #news #new #bjp #congress #election #viral #news,9TGX6WHQytM,2026-07-23T17:20:27Z,E post madiro kamangi ninage yaru antha gothillade yavudo photo yarado name akidiya,Offensive,Offensive,Offensive
8,Karnataka Election,#shortsfeed #shorts #short #karnataka #kannada #news #new #bjp #congress #election #viral #news,W75ptOrSNII,2026-07-25T02:07:20Z,Bye bye ಗುಬೆ ನನ್ ಮಗನೇ Power of CJP☠️☠️ Thank you CJP and Sonam sir and Prakash Raj sir,Offensive,Offensive,Offensive
9,Karnataka Election,#shortsfeed #shorts #short #karnataka #kannada #news #new #bjp #congress #election #viral #news,ZDk8BjrneAM,2026-07-23T15:58:10Z,ಟುಕ್ದೆ ಟುಕ್ದೆ ಗ್ಯಾಂಗ್ ಪರವಾಗಿ ಕಾಂಗ್ರೆಸ್ ಮಾತ್ರ support ಮಾಡೋದು,Hate Speech,Hate Speech,Hate Speech
11,Karnataka News,"Dharmendra Pradhan Gone, But Punjab &amp; Karnataka? Hypocrisy? Arvind Kejriwal | Rahul Gandhi | CJP",le6UpalNo8U,2026-07-26T00:23:14Z,Accountability party dekh kar hogi..Dogla CJP & dogla supporters.,Offensive,Offensive,Offensive
12,Karnataka News,"Dharmendra Pradhan Gone, But Punjab &amp; Karnataka? Hypocrisy? Arvind Kejriwal | Rahul Gandhi | CJP",le6UpalNo8U,2026-07-26T00:23:14Z,1. To ab koi banda hai jo PUNJAB OR KARNATAKA mai bhi istifa maang sake hai kisi ke bum mai dum 2. let's start one more protest agenst reservation. reservation katam karo,Hate Speech,Hate Speech,Hate Speech
13,Karnataka News,"Dharmendra Pradhan Gone, But Punjab &amp; Karnataka? Hypocrisy? Arvind Kejriwal | Rahul Gandhi | CJP",le6UpalNo8U,2026-07-26T00:23:14Z,"Ye banda Dogla h bas views k chakkar me kya bolta h ,kuch bhi nhi ,",Offensive,Offensive,Offensive
14,Karnataka News,"Dharmendra Pradhan Gone, But Punjab &amp; Karnataka? Hypocrisy? Arvind Kejriwal | Rahul Gandhi | CJP",le6UpalNo8U,2026-07-26T00:23:14Z,Dalal mai jaan raha iski entry kab hogi,Offensive,Offensive,Offensive
